census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2009,51,105300,105300,171-173 King Street MELBOURNE 3000,Melbourne (CBD),Healthy Delights Cafe,"Ground , 173 King Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,26,144.9552609,-37.81608465,"-37.8160846478, 144.9552609367651"
2009,53,108072,108072,163-173 Queen Street MELBOURNE 3000,Melbourne (CBD),Subway,"Ground , 173-173 Queen Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,34,144.9602242,-37.81467981,"-37.8146798101, 144.9602241983457"
2009,65,109300,109300,273 Swanston Street MELBOURNE 3000,Melbourne (CBD),Old Town Cafe,273 Swanston Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,56,144.9645322,-37.81185958,"-37.81185958325, 144.96453215015123"
2009,67,103603,103603,221-227 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Yamato Japanese Restaurant,223 Exhibition Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,50,144.9695839,-37.81067064,"-37.8106706381, 144.96958386525768"
2009,67,105678,105678,123-129 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Cafe 123,"Part Ground , 123-129 Lonsdale Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,4,144.9686753,-37.81071737,"-37.810717370604905, 144.96867532369998"
2010,790,626609,613950,34 Wirraway Drive FISHERMANS BEND 3207,Port Melbourne,The Wharf Bakehouse,"Unit 1, 34 Wirraway Drive FISHERMANS BEND 3207",1174,Bakery Product Manufacturing (Non-factory based),Seats - Indoor,24,144.9095132,-37.82669968,"-37.826699679300006, 144.9095132102252"
2010,862,106621,106621,1-23 Millswyn Street SOUTH YARRA 3141,South Yarra,The Albany South Yarra,1-23 Millswyn Street SOUTH YARRA 3141,4400,Accommodation,Seats - Outdoor,20,144.9797465,-37.83705002,"-37.83705002438993, 144.97974650055"
2010,928,612698,612698,52-62 Cade Way PARKVILLE 3052,Parkville,Corner Cafe & Convenience Store,"Unit 1, 62-0 Cade Way PARKVILLE 3052",4511,Cafes and Restaurants,Seats - Outdoor,6,144.9391282,-37.77619476,"-37.776194762058005, 144.93912821305003"
2011,17,103921,103921,91-93 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Papa Goose,"Ground , 91-93 Flinders Lane MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,80,144.9712178,-37.81541283,"-37.815412829256104, 144.9712177966"
2011,25,109264,109264,45-63 Swanston Street MELBOURNE 3000,Melbourne (CBD),Melbourne Halal Kebabs,222 Swanston Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Indoor,4,144.9666233,-37.81632686,"-37.81632686345998, 144.96662326245"
2011,58,105828,105828,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Mrs Parma's,19 Little Bourke Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,60,144.9719902,-37.81074286,"-37.810742859945975, 144.97199016935002"
2011,64,104665,104665,68-78 Hardware Lane MELBOURNE 3000,Melbourne (CBD),Von's Restaurant & Bar,78 Hardware Lane MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,46,144.9611062,-37.8130703,"-37.81307030069858, 144.96110619765"
2011,66,108549,108549,209-211 Russell Street MELBOURNE 3000,Melbourne (CBD),Minh Xuong Seafood & BBQ Restaurant,209-211 Russell Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,100,144.9672701,-37.81164495,"-37.81164494835, 144.96727013144812"
2011,67,103605,103605,231-233 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Schnitz,231 Exhibition Street MELBOURNE 3000,4512,Takeaway Food Services,Seats - Indoor,16,144.9695128,-37.81050752,"-37.81050752475, 144.96951282776445"
2012,24,110763,110763,319-325 Collins Street MELBOURNE 3000,Melbourne (CBD),The Deanery,15 Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,130,144.9635576,-37.81683919,"-37.81683919, 144.96355757915575"
2012,25,102081,102081,241-245 Collins Street MELBOURNE 3000,Melbourne (CBD),Ganache Chocolate Lounge,"Ground , 245 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,10,144.9658295,-37.81606184,"-37.816061838995026, 144.96582950775002"
2012,42,101157,101157,561-571 Bourke Street MELBOURNE 3000,Melbourne (CBD),Romano's Coffee,"Rear Ground , 565 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,63,144.9570178,-37.81647456,"-37.81647455931985, 144.95701782605"
2012,54,101190,101190,380-382 Bourke Street MELBOURNE 3000,Melbourne (CBD),Delhi Rocks,"Basement , 380-382 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,40,144.9622617,-37.81418053,"-37.81418052834273, 144.9622617234"
2012,54,108106,108106,174-176 Queen Street MELBOURNE 3000,Melbourne (CBD),Nirankar Indian Restaurant,"Part Ground , 174 Queen Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,110,144.960768,-37.81429358,"-37.8142935763, 144.96076801015104"
2012,56,108545,108545,191-193 Russell Street MELBOURNE 3000,Melbourne (CBD),A1 Cafe,191-193 Russell Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.9674399,-37.81207059,"-37.8120705926, 144.96743988880883"
2012,63,108077,108077,215 Queen Street MELBOURNE 3000,Melbourne (CBD),Michelangelo,215 Queen Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,60,144.9598744,-37.81379642,"-37.8137964202, 144.9598744243021"
2012,87,103609,103609,287-293 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Melbourne Lanna Thai,"Ground , 287 Exhibition Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,90,144.9688944,-37.80907441,"-37.80907440915, 144.96889436338847"
2012,115,103298,103298,474-476 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Spot On Motorcycles Pty Ltd,474-476 Elizabeth Street MELBOURNE 3000,3912,Motor Cycle Retailing,Seats - Indoor,30,144.9605634,-37.8077099,"-37.80770990395, 144.96056337689515"
2012,218,106210,106210,316-318 Lygon Street CARLTON 3053,Carlton,Copperwood,316-318 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Indoor,160,144.9675889,-37.79962581,"-37.79962581345, 144.9675889379413"
2012,254,106087,106087,123-125 Lygon Street CARLTON 3053,Carlton,Mercadante Pizza,"Ground , 123 Lygon Street CARLTON 3053",4511,Cafes and Restaurants,Seats - Outdoor,30,144.9660337,-37.80409022,"-37.804090216350005, 144.96603371447924"
2012,257,525989,525989,163 Pelham Street CARLTON 3053,Carlton,Momo Sushi,163 Pelham Street CARLTON 3053,4512,Takeaway Food Services,Seats - Indoor,10,144.961131,-37.80239893,"-37.80239893349541, 144.96113101370003"
2012,262,107874,107874,255-259 Queensberry Street CARLTON 3053,Carlton,Red Capsicum,"Ground , 259 Queensberry Street CARLTON 3053",4511,Cafes and Restaurants,Seats - Outdoor,12,144.9600381,-37.8044181,"-37.804418096104, 144.96003806745"
2012,362,103239,103239,547-549 Elizabeth Street MELBOURNE 3000,North Melbourne,Musicbox  - Karaoke Bar,"Ground , 547 Elizabeth Street MELBOURNE 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,60,144.9584782,-37.80538135,"-37.80538135475, 144.95847822216865"
2012,434,109697,109697,223 Victoria Street WEST MELBOURNE 3003,West Melbourne (Residential),Dolcetti,223 Victoria Street WEST MELBOURNE 3003,4511,Cafes and Restaurants,Seats - Indoor,16,144.9540448,-37.80589994,"-37.80589994012556, 144.95404480865"
2012,862,102498,102498,131-133 Domain Road SOUTH YARRA 3141,South Yarra,The Millswyn On Domain,131-133 Domain Road SOUTH YARRA 3141,4511,Cafes and Restaurants,Seats - Indoor,90,144.980491,-37.83412514,"-37.83412513561311, 144.98049096595005"
2017,62,105861,105861,548-558 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Scugnizzo Ristorante,"Ground , 558 Little Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,80,144.9559415,-37.81492124,"-37.81492124299672, 144.95594152885"
2017,94,108089,108089,346-376 Queen Street MELBOURNE 3000,Melbourne (CBD),Stassi Cafe,"Ground , 350 Queen Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,4,144.9591987,-37.81024541,"-37.81024540695, 144.95919870102105"
2017,212,106871,102697,478 Drummond Street CARLTON 3053,Carlton,Fatayer Cafe,"Shop , 478 Drummond Street CARLTON 3053",4511,Cafes and Restaurants,Seats - Outdoor,16,144.9692501,-37.79475022,"-37.7947502172, 144.96925008889286"
2018,265,101588,101588,73-81 Cardigan Street CARLTON 3053,Carlton,Cream & Crumbs,"Shop 1, Ground , 73 Cardigan Street CARLTON 3053",4512,Takeaway Food Services,Seats - Indoor,14,144.9643608,-37.80505743,"-37.80505743185, 144.9643608260457"
2018,345,103408,103408,49 Errol Street NORTH MELBOURNE 3051,North Melbourne,Dong Xing Asian Food & Sushi Noodle Bar,49 Errol Street NORTH MELBOURNE 3051,4512,Takeaway Food Services,Seats - Outdoor,8,144.9490182,-37.80386178,"-37.803861784000006, 144.94901820257817"
2019,206,106114,106114,209 Lygon Street CARLTON 3053,Carlton,Il Cantuccio Restaurant,209 Lygon Street CARLTON 3053,4511,Cafes and Restaurants,Seats - Outdoor,20,144.9666012,-37.8004199,"-37.80041990155, 144.9666012339377"
2021,1109,593732,593732,6-22 Pearl River Road DOCKLANDS VIC 3008,Docklands,Four Points By Sheraton Melbourne Docklands,443 Docklands Drive DOCKLANDS VIC 3008,4400,Accommodation,Seats - Indoor,110,144.9382926,-37.81545723,"-37.815457233029015, 144.9382925939"
2022,95,103306,103306,382-384 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Yingzi Fried Chuan,Ground 71 Little Latrobe St MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,20,144.9614511,-37.8097713,"-37.8097713042, 144.96145107881267"
2022,95,105983,105983,62-64 Little La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Nox Coffee Bar,62-64 Little La Trobe Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,50,144.9618907,-37.80940166,"-37.809401660062726, 144.96189070185"
2022,103,110139,110139,Radisson on Flagstaff Gardens 370-384 William Street MELBOURNE VIC 3000,Melbourne (CBD),Radison on Flagstaff Gardens Melbourne,Radisson on Flagstaff Gardens 380 William Street MELBOURNE VIC 3000,4400,Accommodation,Seats - Indoor,90,144.9561201,-37.81032268,"-37.81032267625399, 144.95612013340002"
2022,218,103687,103687,195-199 Faraday Street CARLTON VIC 3053,Carlton,Mint & Co Restaurant & Lounge,56-62 University Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,250,144.9678373,-37.79926893,"-37.79926893394804, 144.96783734195"
2022,265,109380,109380,498-504 Swanston Street CARLTON VIC 3053,Carlton,The Budapest Cafe,498 Swanston Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,32,144.9637188,-37.80521719,"-37.80521718995, 144.96371884488244"
2022,266,106082,106082,33-89 Lygon Street CARLTON VIC 3053,Carlton,Ej's Cafe,Part Level 4 53-59 Lygon Street CARLTON VIC 3053,4511,Cafes and Restaurants,Seats - Indoor,50,144.9653752,-37.8054718,"-37.805471799888736, 144.9653751931"
2022,310,628743,628743,42-48 Straker Street NORTH MELBOURNE VIC 3051,North Melbourne,Functions@Arden Pty Ltd,42-48 Straker Street NORTH MELBOURNE VIC 3051,6712,Non-Residential Property Operators,Seats - Indoor,160,144.9372261,-37.79654137,"-37.79654137275, 144.93722607304403"
2022,861,102502,102502,157-159 Domain Road SOUTH YARRA VIC 3141,South Yarra,Matilda 159,Restaurant Ground 159 Domain Road SOUTH YARRA VIC 3141,4511,Cafes and Restaurants,Seats - Indoor,50,144.9814521,-37.83428463,"-37.83428463228749, 144.9814520532"
2017,11,103990,103990,524-528 Flinders Street MELBOURNE 3000,Melbourne (CBD),Stand Up Cafe,"Rear Ground , 524-528 Flinders Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,2,144.9567554,-37.82027485,"-37.820274850410144, 144.95675542905002"
2017,13,110151,110151,22-38 William Street MELBOURNE 3000,Melbourne (CBD),Shiraaz at CBD Fine Indian Cuisine,"Part Ground , 22 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,90,144.9599652,-37.81877677,"-37.81877676586093, 144.95996522745"
2017,15,104012,104012,244-248 Flinders Street MELBOURNE 3000,Melbourne (CBD),Bonbons Bakery Flinders Street,"Shop 2, Ground , 248 Flinders Street MELBOURNE 3000",4129,Other Specialised Food Retailing,Seats - Indoor,16,144.9661718,-37.81750111,"-37.817501106409715, 144.96617182745"
